track_name; track_id; album_name; album_id; artist_name; artist_id; release_date; length; popularity; acousticness; danceability; energy; instrumentalness; liveness; loudness; speechiness; tempo; time_signature; 
Brasil Citação São Coisas Nossas Ao Vivo No Rio De Janeiro 1998; 3OT3c7duRMNUrExAl9jyiz; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 266817; 32; 0.0532; 0.523; 0.881; 0.000167; 0.88; -8.99; 0.113; 121.222; 4; 
Blues Da Piedade Ao Vivo No Rio De Janeiro 1998; 3SWPX6oEVOZuhPbGwyPQOY; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 241455; 25; 0.00604; 0.466; 0.68; 1.29e-05; 0.691; -8.086; 0.0477; 131.768; 4; 
Obrigado Por Ter Se Mandado Ao Vivo No Rio De Janeiro 1998; 5c47X8Sq4kvOAWW2mTrity; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 200195; 32; 0.102; 0.728; 0.725; 3.21e-05; 0.913; -8.744; 0.0703; 120.912; 4; 
Por Que A Gente É Assim Ao Vivo No Rio De Janeiro 1998; 6YYD9A2ZXcxG9ADSLYAGpm; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 175199; 33; 0.0649; 0.692; 0.663; 2.86e-05; 0.515; -7.773; 0.0412; 111.386; 4; 
Todo O Amor Que Houver Nessa Vida Ao Vivo No Rio De Janeiro 1998; 50GzvrkiL3BAihvEuDHySG; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 256332; 35; 0.0364; 0.446; 0.36; 2.1e-06; 0.171; -11.42; 0.0443; 104.435; 3; 
1º De Julho Ao Vivo No Rio De Janeiro 1998; 5YduLvhiP16rt4nO7FtD7d; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 293132; 37; 0.0124; 0.499; 0.605; 0.00221; 0.375; -9.568; 0.0425; 88.134; 4; 
Só As Mães São Felizes Ao Vivo No Rio De Janeiro 1998; 1k8Lnx9xrqyzHGJfhA2LcF; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 218007; 31; 0.0192; 0.553; 0.674; 1.73e-06; 0.607; -10.169; 0.0704; 120.931; 4; 
Vida Bandida Ao Vivo No Rio De Janeiro 1998; 3E9AhesjdRfp5efAegVpXY; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 173826; 20; 0.0358; 0.599; 0.944; 0.00166; 0.508; -6.215; 0.06; 127.585; 4; 
Ponto Fraco Ao Vivo No Rio De Janeiro 1998; 0o4a19UjcWG0luWVi33f0B; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 151667; 31; 0.041; 0.655; 0.858; 0.00876; 0.291; -7.488; 0.0591; 131.238; 4; 
Preciso Dizer Que Te Amo Ao Vivo No Rio De Janeiro 1998; 6jWu88gQa142ivcyjLIMhr; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 284258; 35; 0.203; 0.552; 0.172; 2.6e-06; 0.578; -17.756; 0.0566; 136.63; 3; 
Nós Ao Vivo No Rio De Janeiro 1998; 0kcTnRNv6IVCM2IHkojMm6; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 176345; 21; 0.224; 0.599; 0.794; 0.000518; 0.678; -9.395; 0.05; 103.935; 4; 
Mis Penas Lloraba Yo Soy Gitano Ao Vivo No Rio De Janeiro 1998 Medley; 40jMu1qUGu0LM9vC4fkPez; Todo Veneno Vivo Ao Vivo No Rio De Janeiro 1998; 5GQBDpKnbtDbwe1aNtyk3s; Cássia Eller; 10naVTwNjE50daQVrN0bXh; 2019-08-23; 233571; 19; 0.195; 0.423; 0.522; 0; 0.75; -11.244; 0.107; 99.166; 4; 
